Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
58,"Senior Product Manager, Platform Analytics",Discord,San Francisco Bay Area,,https://job-boards.greenhouse.io/discord/jobs/8529800002,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching analytics,"Location ""San Francisco Bay Area"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
58,"Staff Product Manager, Safety Experience",Discord,San Francisco Bay Area,,https://job-boards.greenhouse.io/discord/jobs/8502993002,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ml,"Location ""San Francisco Bay Area"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-22T12:56:11.000Z
58,"Senior Product Manager, DET",Duolingo,"Pittsburgh, PA",,https://careers.duolingo.com/jobs/8530395002?gh_jid=8530395002,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai,"Location ""Pittsburgh, PA"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
58,"Principal Product Manager, AI Features",SoFi,"CA - San Francisco, WA - Seattle",,https://sofi.com/careers/job/7670800003?gh_jid=7670800003,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai,"Location ""CA - San Francisco, WA - Seattle"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
58,"Principal Product Manager, Marketing Technology",SoFi,"CA - San Francisco, WA - Seattle",,https://sofi.com/careers/job/7687964003?gh_jid=7687964003,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai,"Location ""CA - San Francisco, WA - Seattle"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
57,Principal Product Manager,Oportun,,,https://remoteOK.com/remote-jobs/remote-principal-product-manager-oportun-1131262,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ml,No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
57,Product Manager Market Platform,Voltus,Remote,,https://remoteOK.com/remote-jobs/remote-product-manager-market-platform-voltus-1131098,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Requires 3 years of experience (mid-level),Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
57,Senior Product Manager AI Products,Boostlingo,United States,,https://remoteOK.com/remote-jobs/remote-senior-product-manager-ai-products-boostlingo-1130815,Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai,"Location ""United States"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-22T12:55:44.000Z
57,Director of Product Marketing,Cogent Security,All,,https://remoteOK.com/remote-jobs/remote-director-of-product-marketing-cogent-security-1130384,"Role matches Leadership Product (Director/Head/VP); Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml, agentic",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
57,"Product Manager - Compliance, Bridge",Stripe,"New York, San Francisco or Remote",,https://stripe.com/jobs/search?gh_jid=7979422,"Role matches Product Manager; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, machine learning, api","Location ""New York, San Francisco or Remote"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
